DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-04,8032,323,2021,4,4,Abril,12.9,Residencial,134841
2021-04-16,8020,584,2021,4,16,Abril,12.9,Residencial,146445
2021-04-06,8019,720,2021,4,6,Abril,12.9,Residencial,158624
2021-04-18,8038,541,2021,4,18,Abril,12.9,Residencial,119707
2021-04-22,8003,1184,2021,4,22,Abril,12.9,Residencial,143216
2021-04-10,8010,532,2021,4,10,Abril,12.9,Residencial,51990
2021-04-05,8025,343,2021,4,5,Abril,12.9,Residencial,164475
2021-04-06,8042,25995,2021,4,6,Abril,12.9,Residencial,116795
2021-04-13,8012,280,2021,4,13,Abril,12.9,Residencial,137303
2021-04-06,8035,2207,2021,4,6,Abril,12.9,Residencial,92136
2021-04-11,8016,13468,2021,4,11,Abril,12.9,Residencial,165488
2021-04-10,8020,771,2021,4,10,Abril,12.9,Residencial,153618
2021-04-12,8012,265,2021,4,12,Abril,12.9,Residencial,136840
2021-04-29,8006,479,2021,4,29,Abril,12.9,Residencial,151400
2021-04-23,8014,434,2021,4,23,Abril,12.9,Residencial,183481
2021-04-06,8027,5981,2021,4,6,Abril,12.9,Residencial,185603
