"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Regne Unit",7
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Regne Unit",0
2021,7,"Horta-Guinardó",43,"Horta","Dones","Regne Unit",8
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Regne Unit",2
2021,8,"Nou Barris",45,"Porta","Dones","Regne Unit",105
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Regne Unit",8
2021,8,"Nou Barris",47,"Can Peguera","Dones","Regne Unit",3
2021,8,"Nou Barris",48,"la Guineueta","Dones","Regne Unit",12
2021,8,"Nou Barris",49,"Canyelles","Dones","Regne Unit",1
2021,8,"Nou Barris",50,"les Roquetes","Dones","Regne Unit",1
2021,8,"Nou Barris",51,"Verdun","Dones","Regne Unit",9
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Regne Unit",0
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Regne Unit",5
2021,8,"Nou Barris",54,"Torre Baró","Dones","Regne Unit",0
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Regne Unit",2
2021,8,"Nou Barris",56,"Vallbona","Dones","Regne Unit",155
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Regne Unit",36
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Regne Unit",9
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Regne Unit",8
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Regne Unit",20
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Regne Unit",92
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Regne Unit",53
2021,9,"Sant Andreu",63,"Navas","Dones","Regne Unit",62
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Regne Unit",45
2021,10,"Sant Martí",65,"el Clot","Dones","Regne Unit",181
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Regne Unit",59
